player1,player2,winner,total_moves,player1_avg_time,player2_avg_time,timestamp,game_length_category
DQN,Hybrid,player2,18,0.0013788011338975,0.2679925229814317,2025-12-15T18:22:06.755630,Short
Hybrid,DQN,player1,15,0.2738198339939117,0.0019271033150809,2025-12-15T18:22:08.960301,Short
DQN,Hybrid,player2,12,0.0015133221944173,0.2790300846099853,2025-12-15T18:22:10.643562,Short
Hybrid,DQN,player1,13,0.274512665612357,0.0011295477549235,2025-12-15T18:22:12.574533,Short
DQN,Hybrid,player2,20,0.0012835979461669,0.2979091644287109,2025-12-15T18:22:15.566461,Short
Hybrid,DQN,player1,13,0.2950480324881417,0.0014607111612955,2025-12-15T18:22:17.642675,Short
Greedy,Minimax,player2,46,0.0004511294157608,1.0141571708347483,2025-12-15T18:22:40.980236,Short
Minimax,Greedy,player1,17,0.9600086741977268,0.0003816783428192,2025-12-15T18:22:49.624648,Short
Greedy,Minimax,player2,46,0.0003886637480362,1.0143637346184773,2025-12-15T18:23:12.966536,Short
Minimax,Greedy,player1,17,0.967595206366645,0.0001249909400939,2025-12-15T18:23:21.676496,Short
Greedy,Minimax,player2,46,0.000295991482942,1.0020398264345916,2025-12-15T18:23:44.731224,Short
Minimax,Greedy,player1,21,1.0867629918185149,0.0001087188720703,2025-12-15T18:23:56.687757,Short
Greedy,Minimax,player2,46,0.0001618032870085,1.0241592034049656,2025-12-15T18:24:20.250216,Short
Minimax,Greedy,player1,21,1.1007435538552024,0.0001621961593627,2025-12-15T18:24:32.361086,Short
Greedy,Minimax,player2,46,0.0001828463181205,1.00363594552745,2025-12-15T18:24:55.452111,Short
Minimax,Greedy,player1,17,0.964933474858602,0.0003280639648437,2025-12-15T18:25:04.139137,Short
Greedy,Minimax,player2,46,0.0002540090809697,1.0038724671239438,2025-12-15T18:25:27.235267,Short
Minimax,Greedy,player1,21,1.0836160833185369,0.0002115488052368,2025-12-15T18:25:39.158711,Short
Greedy,Minimax,player2,46,0.0002694751905358,1.0002372472182564,2025-12-15T18:26:02.174089,Short
Minimax,Greedy,player1,21,1.0803451971574265,0.000209617614746,2025-12-15T18:26:14.061519,Short
Greedy,Minimax,player2,46,0.0003937016362729,0.9990369133327318,2025-12-15T18:26:37.049425,Short
